source_name	source_dtype	source_shape	transformation	destination_name	destination_dtype	destination_shape	component	role
model.diffusion_model.transformer_blocks.19.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.19.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.19.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.19.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.19.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.19.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.19.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.19.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.19.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.19.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.2.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.2.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.2.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.2.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.2.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.2.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.2.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.2.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.2.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.20.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.20.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.20.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.20.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.20.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.20.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.20.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.20.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.20.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.21.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.21.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.21.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.21.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.21.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.21.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.21.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.21.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.21.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.22.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.22.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.22.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.22.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.22.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.22.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.22.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.22.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.22.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
