source_name	storage_name	source_dtype	source_shape	storage_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
encoder.blocks.2.attn.out.bias	149	F16	384	0	fp16_to_fp32	audio_encoder.layers.2.self_attn.out_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.mlp_ln.weight	150	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.final_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.mlp_ln.bias	151	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.final_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.mlp.0.weight	152	F16	1536,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.fc1.weight	F32	1536,384	audio_encoder_transformer	weight
encoder.blocks.3.mlp.0.bias	153	F16	1536	0	fp16_to_fp32	audio_encoder.layers.3.fc1.bias	F32	1536	audio_encoder_transformer	weight
encoder.blocks.3.mlp.2.weight	154	F16	384,1536	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.fc2.weight	F32	384,1536	audio_encoder_transformer	weight
encoder.blocks.3.mlp.2.bias	155	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.fc2.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.attn_ln.weight	156	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.self_attn_layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.attn_ln.bias	157	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.self_attn_layer_norm.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.attn.query.weight	158	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.self_attn.q_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.3.attn.query.bias	159	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.self_attn.q_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.attn.key.weight	160	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.self_attn.k_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.3.attn.value.weight	161	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.self_attn.v_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.3.attn.value.bias	162	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.self_attn.v_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.blocks.3.attn.out.weight	163	F16	384,384	0	fp16_transpose_2d_to_fp32	audio_encoder.layers.3.self_attn.out_proj.weight	F32	384,384	audio_encoder_transformer	weight
encoder.blocks.3.attn.out.bias	164	F16	384	0	fp16_to_fp32	audio_encoder.layers.3.self_attn.out_proj.bias	F32	384	audio_encoder_transformer	weight
encoder.ln_post.weight	165	F16	384	0	fp16_to_fp32	audio_encoder.layer_norm.weight	F32	384	audio_encoder_transformer	weight
encoder.ln_post.bias	166	F16	384	0	fp16_to_fp32	audio_encoder.layer_norm.bias	F32	384	audio_encoder_transformer	weight
