source_name	storage_name	source_dtype	source_shape	storage_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
down_blocks.0.attentions.1.norm.weight	967	F32	320	0	identity_bytes	down_blocks.0.attentions.1.norm.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.proj_in.bias	970	F32	320	0	identity_bytes	down_blocks.0.attentions.1.proj_in.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.proj_in.weight	969	F32	320,320,1,1	0	identity_bytes	down_blocks.0.attentions.1.proj_in.weight	F32	320,320,1,1	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.proj_out.bias	992	F32	320	0	identity_bytes	down_blocks.0.attentions.1.proj_out.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.proj_out.weight	991	F32	320,320,1,1	0	identity_bytes	down_blocks.0.attentions.1.proj_out.weight	F32	320,320,1,1	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k.weight	974	F32	320,320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.bias	977	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.weight	976	F32	320,320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q.weight	973	F32	320,320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v.weight	975	F32	320,320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight	981	F32	320,384	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight	F32	320,384	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.bias	984	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.weight	983	F32	320,320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q.weight	980	F32	320,320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight	982	F32	320,384	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight	F32	320,384	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj.bias	986	F32	2560	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj.bias	F32	2560	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj.weight	985	F32	2560,320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj.weight	F32	2560,320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2.bias	988	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2.weight	987	F32	320,1280	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2.weight	F32	320,1280	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.norm1.bias	972	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm1.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.norm1.weight	971	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm1.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.norm2.bias	979	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm2.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.norm2.weight	978	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm2.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.norm3.bias	990	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm3.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.attentions.1.transformer_blocks.0.norm3.weight	989	F32	320	0	identity_bytes	down_blocks.0.attentions.1.transformer_blocks.0.norm3.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.downsamplers.0.conv.bias	1070	F32	320	0	identity_bytes	down_blocks.0.downsamplers.0.conv.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.downsamplers.0.conv.weight	1069	F32	320,320,3,3	0	identity_bytes	down_blocks.0.downsamplers.0.conv.weight	F32	320,320,3,3	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.norm.bias	1014	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.norm.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.norm.weight	1013	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.norm.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.proj_in.bias	1016	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.proj_in.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.proj_in.weight	1015	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.proj_in.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.proj_out.bias	1040	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.proj_out.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.proj_out.weight	1039	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.proj_out.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.pos_encoder.pe	1022	F32	1,24,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.pos_encoder.pe	F32	1,24,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_k.weight	1018	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_k.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.bias	1021	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.weight	1020	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_q.weight	1017	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_v.weight	1019	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.0.to_v.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.pos_encoder.pe	1028	F32	1,24,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.pos_encoder.pe	F32	1,24,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_k.weight	1024	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_k.weight	F32	320,320	temporal_conditional_unet_2d	weight
