source_file	source_name	source_dtype	source_shape	source_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
vae	decoder.upsamples.13.residual.2.weight	F32	96,96,3,3,3	255415680	identity_bytes	component.vae.decoder.upsamples.13.residual.2.weight	F32	96,96,3,3,3	vae.decoder	weight
vae	decoder.upsamples.13.residual.3.gamma	F32	96,1,1,1	380828684	identity_bytes	component.vae.decoder.upsamples.13.residual.3.gamma	F32	96,1,1,1	vae.decoder	weight
vae	decoder.upsamples.13.residual.6.bias	F32	96	126841536	identity_bytes	component.vae.decoder.upsamples.13.residual.6.bias	F32	96	vae.decoder	weight
vae	decoder.upsamples.13.residual.6.weight	F32	96,96,3,3,3	384077708	identity_bytes	component.vae.decoder.upsamples.13.residual.6.weight	F32	96,96,3,3,3	vae.decoder	weight
vae	decoder.upsamples.14.residual.0.gamma	F32	96,1,1,1	126841920	identity_bytes	component.vae.decoder.upsamples.14.residual.0.gamma	F32	96,1,1,1	vae.decoder	weight
vae	decoder.upsamples.14.residual.2.bias	F32	96	253724800	identity_bytes	component.vae.decoder.upsamples.14.residual.2.bias	F32	96	vae.decoder	weight
vae	decoder.upsamples.14.residual.2.weight	F32	96,96,3,3,3	129969600	identity_bytes	component.vae.decoder.upsamples.14.residual.2.weight	F32	96,96,3,3,3	vae.decoder	weight
vae	decoder.upsamples.14.residual.3.gamma	F32	96,1,1,1	253725184	identity_bytes	component.vae.decoder.upsamples.14.residual.3.gamma	F32	96,1,1,1	vae.decoder	weight
vae	decoder.upsamples.14.residual.6.bias	F32	96	39232	identity_bytes	component.vae.decoder.upsamples.14.residual.6.bias	F32	96	vae.decoder	weight
vae	decoder.upsamples.14.residual.6.weight	F32	96,96,3,3,3	256411008	identity_bytes	component.vae.decoder.upsamples.14.residual.6.weight	F32	96,96,3,3,3	vae.decoder	weight
vae	decoder.upsamples.2.residual.0.gamma	F32	384,1,1,1	126868416	identity_bytes	component.vae.decoder.upsamples.2.residual.0.gamma	F32	384,1,1,1	vae.decoder	weight
vae	decoder.upsamples.2.residual.2.bias	F32	384	253746560	identity_bytes	component.vae.decoder.upsamples.2.residual.2.bias	F32	384	vae.decoder	weight
vae	decoder.upsamples.2.residual.2.weight	F32	384,384,3,3,3	221871552	identity_bytes	component.vae.decoder.upsamples.2.residual.2.weight	F32	384,384,3,3,3	vae.decoder	weight
vae	decoder.upsamples.2.residual.3.gamma	F32	384,1,1,1	253748096	identity_bytes	component.vae.decoder.upsamples.2.residual.3.gamma	F32	384,1,1,1	vae.decoder	weight
vae	decoder.upsamples.2.residual.6.bias	F32	384	380852108	identity_bytes	component.vae.decoder.upsamples.2.residual.6.bias	F32	384	vae.decoder	weight
vae	decoder.upsamples.2.residual.6.weight	F32	384,384,3,3,3	348976512	identity_bytes	component.vae.decoder.upsamples.2.residual.6.weight	F32	384,384,3,3,3	vae.decoder	weight
vae	decoder.upsamples.3.resample.1.bias	F32	192	42304	identity_bytes	component.vae.decoder.upsamples.3.resample.1.bias	F32	192	vae.decoder	weight
vae	decoder.upsamples.3.resample.1.weight	F32	192,384,3,3	386842508	identity_bytes	component.vae.decoder.upsamples.3.resample.1.weight	F32	192,384,3,3	vae.decoder	weight
vae	decoder.upsamples.3.time_conv.bias	F32	768	380859788	identity_bytes	component.vae.decoder.upsamples.3.time_conv.bias	F32	768	vae.decoder	weight
vae	decoder.upsamples.3.time_conv.weight	F32	768,384,3,1,1	3860800	identity_bytes	component.vae.decoder.upsamples.3.time_conv.weight	F32	768,384,3,1,1	vae.decoder	weight
vae	decoder.upsamples.4.residual.0.gamma	F32	192,1,1,1	380830604	identity_bytes	component.vae.decoder.upsamples.4.residual.0.gamma	F32	192,1,1,1	vae.decoder	weight
vae	decoder.upsamples.4.residual.2.bias	F32	384	64576	identity_bytes	component.vae.decoder.upsamples.4.residual.2.bias	F32	384	vae.decoder	weight
